total_screen_time_minutes,daily_limit_minutes,late_night_minutes,longest_session_minutes,restricted_app_attempts_today,rule_violations_7d,frequent_app_opens_today,risk_points,risk_label
229,60,0,44,0,0,30,4,Moderate Risk
2,60,0,19,0,5,7,2,Low Risk
91,120,0,135,0,0,10,1,Low Risk
0,240,12,0,1,0,0,2,Low Risk
215,120,0,14,1,0,10,2,Low Risk
200,120,0,69,0,0,12,2,Moderate Risk
5,240,0,60,0,0,20,2,Low Risk
184,240,0,55,0,0,2,0,Low Risk
102,240,1,77,0,2,12,2,Low Risk
129,60,0,24,0,1,7,2,Low Risk
156,120,0,78,0,2,46,4,Moderate Risk
84,180,0,65,0,1,10,0,Low Risk
261,240,0,67,2,0,0,2,Low Risk
126,120,0,5,0,0,28,4,Moderate Risk
306,120,2,96,1,0,13,5,Moderate Risk
154,240,0,99,0,0,16,3,Moderate Risk
31,180,0,57,1,0,9,0,Low Risk
511,60,0,81,0,0,34,4,Moderate Risk
153,60,0,41,0,3,5,4,Moderate Risk
0,120,0,85,0,2,5,0,Low Risk
261,120,0,192,0,0,11,3,Moderate Risk
73,60,0,15,0,3,7,4,Moderate Risk
250,180,0,44,0,2,6,2,Low Risk
300,180,0,0,0,0,0,2,Moderate Risk
0,60,0,134,0,3,6,3,Moderate Risk
83,240,0,49,0,1,30,2,Low Risk
142,240,0,104,1,0,16,3,Moderate Risk
73,60,0,109,0,1,15,3,Moderate Risk
254,120,0,41,1,6,10,4,Moderate Risk
131,120,71,101,3,0,3,7,Moderate Risk
317,240,0,100,0,0,0,3,Moderate Risk
348,60,114,101,1,0,3,5,Moderate Risk
275,120,0,39,0,0,6,2,Low Risk
0,180,0,75,0,6,0,2,Low Risk
143,120,38,0,0,0,13,4,Moderate Risk
30,120,0,59,0,2,15,0,Low Risk
355,180,0,87,0,1,15,2,Low Risk
136,120,0,146,0,0,14,3,Moderate Risk
0,240,10,62,0,0,1,2,Low Risk
28,240,0,3,0,0,6,0,Low Risk
36,180,0,0,1,1,5,0,Low Risk
107,120,18,53,0,4,0,4,High Risk
259,240,15,41,0,0,0,4,Moderate Risk
70,120,0,42,0,0,5,0,Low Risk
0,60,0,87,0,0,8,0,Low Risk
220,180,0,0,1,2,13,2,Low Risk
178,60,0,0,1,1,13,2,Low Risk
217,180,0,163,1,3,0,5,Moderate Risk
286,120,0,130,0,10,0,5,Moderate Risk
130,240,0,79,0,0,10,0,Low Risk
0,120,0,62,0,0,0,0,Low Risk
161,120,0,101,0,0,13,3,High Risk
56,120,0,42,0,0,20,2,Low Risk
0,240,0,44,0,0,10,0,Low Risk
189,180,0,3,0,0,5,2,Low Risk
134,60,0,10,0,3,5,4,Moderate Risk
281,60,0,30,0,1,18,4,Moderate Risk
381,240,1,31,0,5,35,8,High Risk
196,60,58,54,0,0,6,4,Moderate Risk
47,240,0,51,0,0,0,0,Low Risk
45,120,0,62,1,0,9,0,Moderate Risk
117,180,0,3,0,0,0,0,Low Risk
0,120,0,46,0,0,4,0,Low Risk
66,60,0,45,0,0,0,2,Low Risk
28,60,114,63,0,0,0,2,Low Risk
7,120,0,49,0,0,4,0,Low Risk
152,60,0,14,0,0,15,2,Low Risk
149,180,0,57,0,5,5,2,Low Risk
157,240,0,41,0,0,2,0,Low Risk
128,120,18,10,0,7,4,6,High Risk
103,180,0,0,1,0,7,0,Low Risk
120,60,0,100,0,0,5,3,Moderate Risk
232,240,0,1,0,0,9,0,Low Risk
84,120,0,117,0,0,0,1,Low Risk
122,120,0,40,0,0,0,2,Low Risk
194,240,0,53,2,0,17,2,Low Risk
281,180,0,70,0,3,2,4,Moderate Risk
108,60,0,46,0,0,8,2,Low Risk
132,180,0,41,1,0,13,0,Low Risk
197,240,0,29,1,0,16,2,Low Risk
234,180,0,37,0,17,8,4,Moderate Risk
112,180,0,12,2,0,22,2,Low Risk
257,240,0,0,0,1,6,2,Low Risk
317,120,0,81,0,0,2,2,Low Risk
101,180,54,72,0,0,6,2,Low Risk
209,180,0,30,6,0,9,4,Moderate Risk
234,180,0,74,1,0,14,2,Low Risk
355,240,0,51,1,0,11,2,Low Risk
104,60,0,24,1,0,7,2,Low Risk
12,240,0,10,0,0,11,0,Low Risk
119,240,0,49,0,0,4,0,Low Risk
389,120,0,133,0,1,15,3,Moderate Risk
304,120,8,64,0,6,25,8,High Risk
164,180,0,75,0,1,20,2,Low Risk
173,240,0,23,0,4,6,2,Low Risk
134,240,0,33,0,3,0,2,Low Risk
224,120,0,10,0,0,1,2,Low Risk
163,60,0,23,0,0,0,2,Low Risk
239,240,0,70,0,6,27,4,Moderate Risk
111,180,0,0,0,1,4,0,Low Risk
282,60,0,30,2,1,10,2,Low Risk
70,240,0,103,0,6,5,3,Moderate Risk
125,120,0,98,1,0,15,3,Moderate Risk
219,120,0,20,0,0,8,2,Low Risk
226,120,0,80,0,0,2,2,Low Risk
178,240,39,4,7,1,2,4,Moderate Risk
137,180,0,57,2,2,4,0,Low Risk
68,240,88,69,0,0,33,4,Moderate Risk
161,240,0,53,2,0,5,0,Low Risk
180,180,35,99,3,0,21,7,High Risk
194,180,0,84,3,0,7,4,Moderate Risk
0,180,0,103,0,1,13,1,Low Risk
191,60,0,28,2,0,15,2,Low Risk
0,60,0,59,0,1,17,2,Low Risk
279,120,43,82,0,0,6,4,Moderate Risk
185,60,3,0,2,0,17,6,High Risk
37,120,0,21,2,2,15,0,Low Risk
59,120,0,0,0,0,1,0,Low Risk
193,120,0,42,1,0,3,2,Low Risk
42,60,0,0,1,0,0,0,Low Risk
